student_id,math_score,science_score,english_score,history_score,study_hours_week,quiz_attempts,consecutive_logins,material_access_freq,improvement_rate,score_consistency,time_per_question,class_size,resource_index,faculty_ratio,peak_study_time,weekend_study_ratio,knowledge_gap,predicted_score,overall_avg,science_math_diff,eng_hist_ratio
0,70,63,77,46,7,4,1,8,1.8198775086669512,0.2682936276306696,2.44031576786006,28,50,0.06110258388436998,20,0.1910065985005819,36,56,64,-7,1.67
1,63,66,77,56,10,2,1,2,1.280700671396931,0.2818983820885491,6.169264234467332,35,45,0.14998587598504226,12,0.4371451031662987,37,60,65,3,1.37
2,72,64,67,61,24,2,5,5,0.6348861477597192,0.2824020961418845,5.557049185578746,25,63,0.06474049623628919,22,0.4443485129634297,35,77,66,-8,1.1
3,83,71,79,69,8,3,11,0,2.160275897721186,0.3298454420199274,13.123797979410403,32,43,0.18744248681292125,9,0.714475130289875,30,77,75,-12,1.14
4,62,81,63,79,11,5,4,0,2.1755649239638304,0.17497511343245123,3.320032683730552,22,37,0.13826407610035057,3,0.39624447580717653,22,71,71,19,0.8
5,62,62,69,75,21,2,1,0,0.7042749436583853,0.1120454225772084,3.3887823905805052,40,57,0.1758921415800746,19,0.5692639968105485,38,82,67,0,0.92
6,83,80,59,55,38,6,6,9,1.676156713357992,0.3985272562738731,2.105662008810482,39,61,0.13571483703270448,19,0.6036399652872059,35,62,69,-3,1.07
7,74,62,87,63,10,4,5,6,1.9642439581842177,0.2798015834543413,1.9975441669787142,51,40,0.19623535230943062,0,0.24345814793619605,31,68,71,-12,1.38
8,59,61,73,68,6,5,6,10,0.6856627075276638,0.3035767800057589,3.452944268111979,21,65,0.16230733220646046,19,0.16108384631315278,34,74,65,2,1.07
9,71,78,92,65,22,3,1,4,2.1927122678312303,0.20531310936406028,1.419668668978876,58,54,0.09377409104389756,6,0.5409476360195198,22,77,76,7,1.41
10,59,79,81,65,31,7,3,5,1.2086077226350234,0.22058145166991294,4.416466993234386,52,42,0.10176697617380909,17,0.49434013309073643,28,62,71,20,1.24
11,59,78,78,49,23,3,3,3,1.6768862952757104,0.22335405385067714,1.8845738236199492,55,51,0.1306678940084719,2,0.8232505195501307,19,72,66,19,1.59
12,67,56,70,55,36,2,4,0,1.253054758377955,0.24968097286264443,4.145329281061922,34,38,0.16213069140601127,20,0.7905203434837899,28,77,62,-11,1.27
13,42,65,66,63,28,2,4,0,1.5566860926854516,0.24384735989076023,0.7229055202651015,40,37,0.06273532525962448,20,0.27434829203096783,40,69,59,23,1.05
14,44,78,79,35,38,4,1,3,1.8160362705787012,0.333217666747889,2.7809619388172,50,73,0.12449422860618631,16,0.725141046464812,29,64,59,34,2.25
15,58,70,74,75,29,4,10,3,1.9163972509636196,0.46257116249294417,4.822286084916376,36,73,0.1156395646052186,7,0.12109286306985848,15,61,69,12,0.99
16,52,59,64,52,28,1,3,1,1.304820097266235,0.2663091478751596,6.740285215315393,57,60,0.1813286014903755,22,0.725887048349777,22,66,56,7,1.23
17,68,74,62,75,29,4,1,4,0.7226607907671014,0.3171675491467993,3.782393813125477,37,50,0.14584030816955612,11,0.33079233627891874,18,69,69,6,0.83
18,54,62,67,74,16,3,5,11,1.1864676164949637,0.6513896680451619,0.9251254081622624,47,47,0.14221117738489078,20,0.16402617488695917,36,67,64,8,0.9
19,48,87,89,62,34,4,1,7,2.169374966804659,0.12899378981615245,2.2032125012321324,54,57,0.16647285691777902,14,0.07244363892466793,31,75,71,39,1.43
20,82,85,92,79,10,5,1,4,1.679708223495422,0.2344165358436161,3.270426215606787,33,47,0.06426215792165392,0,0.614374420995716,24,87,84,3,1.16
21,62,76,76,76,34,8,2,1,1.3952940778466978,0.41049518296677207,4.794908505361837,26,44,0.053380553023959276,13,0.5713841267672024,20,63,72,14,1.0
22,65,83,76,64,37,1,3,1,1.8401735783280047,0.14048297578881916,5.49955449685963,24,30,0.19902409527891146,7,0.5740603526268294,27,77,72,18,1.19
23,47,70,72,63,19,4,2,8,2.1350512214003405,0.6035523685891548,5.659536420452465,40,52,0.07701856476245902,19,0.9162159561161203,29,69,63,23,1.14
24,58,77,67,80,33,3,2,2,2.263366362145658,0.3056526182147824,6.166080875278004,25,56,0.11691385641323807,10,0.25679589014755244,28,57,70,19,0.84
25,66,84,86,70,18,1,4,4,1.943470366475422,0.032941644019957944,5.740296700818751,51,36,0.12728378889459074,1,0.8842744327281475,19,76,76,18,1.23
26,51,72,89,79,29,5,1,10,0.6801000431884359,0.31201661114698953,4.314240067459541,57,55,0.17420548416261608,20,0.4845993838186532,37,75,72,21,1.13
